case,problem,eval_problem,num_cores,algorithm,variant,seed,runtime_s,eval_s,feasible,makespan,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,scheduled_copy_bytes,cache_hit_rate,cache_hit_bytes,n_subgraphs,baseline_makespan,error,speedup,params,is_best,plan_path
case_001,3,3,3,capls,c1,0,0.02,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.15}",False,
case_001,3,3,3,capls,c2,0,0.03,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr""}",False,
case_001,3,3,3,capls,c3,0,0.029,0.082,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""contig""}",False,
case_001,3,3,3,capls,c4,0,0.03,0.083,True,78545,2304,2304,0,1641856,0.0,0,200,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""subgraph_mode"": ""block""}",False,
case_001,3,3,3,capls,c5,0,0.029,0.083,True,78545,2304,2304,0,1641856,0.0,0,200,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""subgraph_mode"": ""block""}",False,
case_001,3,3,3,capls,c6,0,0.024,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.6, ""comm_weight"": 1e-06}",False,
case_001,3,3,3,capls,c7,0,0.018,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.08}",False,
case_001,3,3,3,capls,c8,0,0.041,0.155,True,97680,1648896,1648896,0,3288448,0.28580950476571354,548864,4,233110,,2.3864660114660117,"{""block_cap"": 0.005}",False,
case_001,3,3,3,capls,c9,0,0.029,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""max_ops"": 500}",False,
case_001,3,3,3,capls,c10,0,0.018,0.115,True,116868,1152,1152,0,1640704,0.0,0,2,233110,,1.9946435294520313,"{""block_cap"": 0.35, ""cores_used"": 2}",False,
case_001,3,3,3,capls,c11,0,0.019,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""sync_weight"": 0.0}",False,
case_001,3,3,3,capls,c12,0,0.027,0.065,True,78545,2304,2304,0,1641856,0.0,0,3,233110,,2.9678528232223567,"{""block_cap"": 0.35, ""init"": ""rr"", ""level_mode"": ""alap_fill""}",False,
